id,source_id,cot_type,how
39657433,1935,a-n-A-C-F-m,m-g
39657331,1830,a-n-A-C-F-m,m-g
39657655,2212,a-n-A-C-F-m,m-g
39658113,2199,a-n-A-C-F-m,m-g
39658463,2135,a-n-A-C-F-m,m-g
39657487,2199,a-n-A-C-F-m,m-g
39657361,2170,a-n-A-C-F,m-g
39657092,1935,a-n-A-C-F-m,m-g
39657118,2057,a-n-A-C-F-m,m-g
39657731,1830,a-n-A-C-F-m,m-g
39657273,1830,a-n-A-C-F-m,m-g
39657019,2199,a-n-A-C-F-m,m-g
39658325,1935,a-n-A-C-F-m,m-g
39657242,1830,a-n-A-C-F-m,m-g
39657945,2199,a-n-A-C-F-m,m-g
39657913,2199,a-n-A-C-F-m,m-g
39657347,1830,a-n-A-C-F-m,m-g
39658163,1830,a-n-A-C-F-m,m-g
39657595,2199,a-n-A-C-F-m,m-g
39657974,1830,a-n-A-C-F-m,m-g
39658246,1793,a-n-A-C-F-m,m-g
39657971,2199,a-n-A-C-F-m,m-g
39657723,1793,a-n-A-C-F-m,m-g
39658332,1830,a-n-A-C-F-m,m-g
39657585,1935,a-n-A-C-F-m,m-g
39657610,1830,a-n-A-C-F-m,m-g
39658458,1830,a-n-A-C-F-m,m-g
39657033,2057,a-n-A-C-F-m,m-g
39657918,1830,a-n-A-C-F-m,m-g
39657452,1935,a-n-A-C-F-m,m-g
39657416,1935,a-n-A-C-F-m,m-g
39657046,2170,a-n-A-C-F,m-g
39658214,2212,a-n-A-C-F-m,m-g
39658231,2212,a-n-A-C-F-m,m-g
39658026,1830,a-n-A-C-F-m,m-g
39657801,1830,a-n-A-C-F-m,m-g
39657174,1935,a-n-A-C-F-m,m-g
39657977,1830,a-n-A-C-F-m,m-g
39657474,1935,a-n-A-C-F-m,m-g
39658426,2156,a-n-A-C-F-m,m-g
39657184,2199,a-n-A-C-F-m,m-g
39657355,2057,a-n-A-C-F-m,m-g
39657415,2199,a-n-A-C-F-m,m-g
39658528,1935,a-n-A-C-F-m,m-g
39657351,2199,a-n-A-C-F-m,m-g
39657316,1935,a-n-A-C-F-m,m-g
39658004,1830,a-n-A-C-F-m,m-g
39657955,1935,a-n-A-C-F-m,m-g
39658225,2199,a-n-A-C-F-m,m-g
39658303,1830,a-n-A-C-F-m,m-g
39657686,1935,a-n-A-C-F-m,m-g
39658462,1830,a-n-A-C-F-m,m-g
39657866,1830,a-n-A-C-F-m,m-g
39658305,1935,a-n-A-C-F-m,m-g
39657087,2212,a-n-A-C-F-m,m-g
39657189,2199,a-n-A-C-F-m,m-g
39657322,1830,a-n-A-C-F-m,m-g
39658141,1830,a-n-A-C-F-m,m-g
39658507,2135,a-n-A-C-F-m,m-g
39656942,2199,a-n-A-C-F-m,m-g
39657604,1935,a-n-A-C-F-m,m-g
39657729,1935,a-n-A-C-F-m,m-g
39658158,2199,a-n-A-C-F-m,m-g
39657172,2170,a-n-A-C-F,m-g
39657928,1935,a-n-A-C-F-m,m-g
39657403,2199,a-n-A-C-F-m,m-g
39657709,1935,a-n-A-C-F-m,m-g
39657332,2212,a-n-A-C-F-m,m-g
39656921,2199,a-n-A-C-F-m,m-g
39658395,1830,a-n-A-C-F-m,m-g
39658193,2212,a-n-A-C-F-m,m-g
39658387,2156,a-n-A-C-F-m,m-g
39657127,1830,a-n-A-C-F-m,m-g
39657784,2199,a-n-A-C-F-m,m-g
39657096,1830,a-n-A-C-F-m,m-g
39657576,2199,a-n-A-C-F-m,m-g
39657284,1935,a-n-A-C-F-m,m-g
39657460,2199,a-n-A-C-F-m,m-g
39658196,1830,a-n-A-C-F-m,m-g
39658071,1830,a-n-A-C-F-m,m-g
39657956,2199,a-n-A-C-F-m,m-g
39657108,1935,a-n-A-C-F-m,m-g
39658135,2199,a-n-A-C-F-m,m-g
39658370,1935,a-n-A-C-F-m,m-g
39658488,1830,a-n-A-C-F-m,m-g
39656941,2199,a-n-A-C-F-m,m-g
39658508,1830,a-n-A-C-F-m,m-g
39657645,2212,a-n-A-C-F-m,m-g
39658072,1830,a-n-A-C-F-m,m-g
39656923,1935,a-n-A-C-F-m,m-g
39658372,1868,a-n-A-C-F-m,m-g
39657694,2199,a-n-A-C-F-m,m-g
39656998,2199,a-n-A-C-F-m,m-g
39658377,1830,a-n-A-C-F-m,m-g
39658189,1935,a-n-A-C-F-m,m-g
39658292,2199,a-n-A-C-F-m,m-g
39657282,2156,a-n-A-C-F-m,m-g
39658347,1935,a-n-A-C-F-m,m-g
39657657,2199,a-n-A-C-F-m,m-g
39657570,1830,a-n-A-C-F-m,m-g
39657779,1935,a-n-A-C-F-m,m-g
39657826,1830,a-n-A-C-F-m,m-g
39657564,2199,a-n-A-C-F-m,m-g
39657887,1935,a-n-A-C-F-m,m-g
39657954,2199,a-n-A-C-F-m,m-g
39657701,1935,a-n-A-C-F-m,m-g
39657524,1830,a-n-A-C-F-m,m-g
39658062,2199,a-n-A-C-F-m,m-g
39657111,2199,a-n-A-C-F-m,m-g
39658438,1830,a-n-A-C-F-m,m-g
39657872,1935,a-n-A-C-F-m,m-g
39657391,1830,a-n-A-C-F-m,m-g
39657063,1830,a-n-A-C-F-m,m-g
39658340,1935,a-n-A-C-F-m,m-g
39658530,1868,a-n-A-C-F-m,m-g
39657497,2199,a-n-A-C-F-m,m-g
39656970,2212,a-n-A-C-F-m,m-g
39657979,2199,a-n-A-C-F-m,m-g
39657195,2199,a-n-A-C-F-m,m-g
39657024,2212,a-n-A-C-F-m,m-g
39657718,2199,a-n-A-C-F-m,m-g
39658278,1935,a-n-A-C-F-m,m-g
39657256,1935,a-n-A-C-F-m,m-g
39658267,1830,a-n-A-C-F-m,m-g
39658079,2199,a-n-A-C-F-m,m-g
39658359,1935,a-n-A-C-F-m,m-g
39657450,1830,a-n-A-C-F-m,m-g
39657078,2212,a-n-A-C-F-m,m-g
39657553,2199,a-n-A-C-F-m,m-g
39658442,1935,a-n-A-C-F-m,m-g
39658516,1830,a-n-A-C-F-m,m-g
39658211,2199,a-n-A-C-F-m,m-g
39658089,1935,a-n-A-C-F-m,m-g
39657572,2199,a-n-A-C-F-m,m-g
39657088,2199,a-n-A-C-F-m,m-g
39657413,2199,a-n-A-C-F-m,m-g
39657269,2057,a-n-A-C-F-m,m-g
39657755,2199,a-n-A-C-F-m,m-g
39658478,1830,a-n-A-C-F-m,m-g
39657689,1935,a-n-A-C-F-m,m-g
39657603,1935,a-n-A-C-F-m,m-g
39657267,1935,a-n-A-C-F-m,m-g
39657665,1828,a-n-A-C-F,m-g
39657541,1935,a-n-A-C-F-m,m-g
39657816,1935,a-n-A-C-F-m,m-g
39656940,1935,a-n-A-C-F-m,m-g
