id,source_id,cot_type,how
39776846,2007,a-n-A-C-F,m-g
39748961,1907,a-n-A-C-F-m,m-g
39671969,2064,a-n-A-C-F-m,m-g
39722348,1879,a-n-A-C-F-m,m-g
39662999,2005,a-n-A-C-F-m,m-g
39702279,2048,a-n-A-C-F-m,m-g
39733643,1847,a-n-A-C-F-m,m-g
39664516,1799,a-n-A-C-F-m,m-g
39687393,2073,a-n-A-C-F-m,m-g
39701300,2112,a-n-A-C-F-m,m-g
39713464,2145,a-n-A-C-F-m,m-g
39683027,1943,a-n-A-C-F-m,m-g
39718096,1966,a-n-A-C-F-m,m-g
39676228,2183,a-n-A-C-F-m,m-g
39699920,1842,a-n-A-C-F-m,m-g
39670155,1826,a-n-A-C-F-m,m-g
39669673,1964,a-n-A-C-F-m,m-g
39786677,2099,a-n-A-C-F-m,m-g
39660471,2133,a-n-A-C-F,m-g
39722396,1944,a-n-A-C-F-m,m-g
39726549,1819,a-n-A-C-F-m,m-g
39715071,1795,a-n-A-C-F-m,m-g
39658956,1868,a-n-A-C-F-m,m-g
39786811,2099,a-n-A-C-F-m,m-g
39716738,1966,a-n-A-C-F-m,m-g
39668679,1964,a-n-A-C-F-m,m-g
39696523,1842,a-n-A-C-F-m,m-g
39787650,1990,a-n-A-C-F-m,m-g
39800833,2078,a-n-A-C-F-m,m-g
39792665,1851,a-n-A-C-F-m,m-g
39700860,2048,a-n-A-C-F-m,m-g
39763099,2228,a-n-A-C-F-m,m-g
39775600,1929,a-n-A-C-F,m-g
39685690,1995,a-n-A-C-F-m,m-g
39777417,2207,a-n-A-C-F,m-g
39745817,1896,a-n-A-C-F-m,m-g
39793644,1915,a-n-A-C-F-m,m-g
39664894,1799,a-n-A-C-F-m,m-g
39715637,2001,a-n-A-C-F-m,m-g
39759520,2000,a-n-A-C-F-m,m-g
39790367,2080,a-n-A-C-F-m,m-g
39659103,2133,a-n-A-C-F,m-g
39672678,1882,a-n-A-C-F-m,m-g
39666730,1964,a-n-A-C-F-m,m-g
39675115,1882,a-n-A-C-F-m,m-g
39663085,2033,a-n-A-C-F-m,m-g
39719915,1966,a-n-A-C-F-m,m-g
39754013,2220,a-n-A-C-F-m,m-g
39760674,1959,a-n-A-C-F-m,m-g
39683544,1811,a-n-A-C-F-m,m-g
39690486,1811,a-n-A-C-F-m,m-g
39774835,2121,a-n-A-C-F-m,m-g
39763032,2094,a-n-A-C-F-m,m-g
39756368,1959,a-n-A-C-F-m,m-g
39695130,2107,a-n-A-C-F-m,m-g
39687757,1965,a-n-A-C-F-m,m-g
39754833,1945,a-n-A-C-F-m,m-g
39665508,2033,a-n-A-C-F-m,m-g
39792691,2226,a-n-A-C-F-m,m-g
39675040,2183,a-n-A-C-F-m,m-g
39666367,2005,a-n-A-C-F-m,m-g
39674590,2184,a-n-A-C-F-m,m-g
39701217,2177,a-n-A-C-F-m,m-g
39659750,1830,a-n-A-C-F-m,m-g
39673423,1964,a-n-A-C-F-m,m-g
39763044,2094,a-n-A-C-F-m,m-g
39777267,2114,a-n-A-C-F,m-g
39785844,1873,a-n-A-C-F-m,m-g
39754314,2000,a-n-A-C-F-m,m-g
39773867,1916,a-n-A-C-F-m,m-g
39689050,1965,a-n-A-C-F-m,m-g
39761215,2094,a-n-A-C-F-m,m-g
39764574,2160,a-n-A-C-F,m-g
39683336,1943,a-n-A-C-F-m,m-g
39725187,1861,a-n-A-C-F-m,m-g
39768144,2225,a-n-A-C-F-m,m-g
39778818,2148,a-n-A-C-F,m-g
39727883,1819,a-n-A-C-F-m,m-g
39785608,2221,a-n-A-C-F-m,m-g
39700460,2177,a-n-A-C-F-m,m-g
39740803,1894,a-n-A-C-F-m,m-g
39702743,1842,a-n-A-C-F-m,m-g
39791305,1970,a-n-A-C-F-m,m-g
39690753,1811,a-n-A-C-F-m,m-g
39696595,2037,a-n-A-C-F-m,m-g
39782850,1899,a-n-A-C-F,m-g
39775702,1906,a-n-A-C-F-m,m-g
39660366,1830,a-n-A-C-F-m,m-g
39773560,1947,a-n-A-C-F,m-g
39744530,2220,a-n-A-C-F-m,m-g
39661873,2208,a-n-A-C-F-m,m-g
39762988,2094,a-n-A-C-F-m,m-g
39682455,1943,a-n-A-C-F-m,m-g
39694378,2016,a-n-A-C-F-m,m-g
39723430,2021,a-n-A-C-F-m,m-g
39725152,1861,a-n-A-C-F-m,m-g
39747673,1978,a-n-A-C-F-m,m-g
39732402,2219,a-n-A-C-F-m,m-g
39738629,1978,a-n-A-C-F-m,m-g
39676546,2046,a-n-A-C-F-m,m-g
39658841,2133,a-n-A-C-F,m-g
39759591,1959,a-n-A-C-F-m,m-g
39781527,2051,a-n-A-C-F,m-g
39663011,2208,a-n-A-C-F-m,m-g
39664643,2033,a-n-A-C-F-m,m-g
39664946,1946,a-n-A-C-F-m,m-g
39779667,1865,a-n-A-C-F,m-g
39722202,1944,a-n-A-C-F-m,m-g
39779036,2095,a-n-A-C-F-m,m-g
39787605,1990,a-n-A-C-F-m,m-g
39773718,2100,a-n-A-C-F,m-g
39791388,1970,a-n-A-C-F-m,m-g
39766238,1888,a-n-A-C-F-m,m-g
39762354,2009,a-n-A-C-F-m,m-g
39758807,1894,a-n-A-C-F-m,m-g
39730516,2219,a-n-A-C-F-m,m-g
39795960,2226,a-n-A-C-F-m,m-g
39674474,1943,a-n-A-C-F-m,m-g
39716825,1795,a-n-A-C-F-m,m-g
39687197,2107,a-n-A-C-F-m,m-g
39682554,1943,a-n-A-C-F-m,m-g
39663542,2005,a-n-A-C-F-m,m-g
39800130,2024,a-n-A-C-F-m,m-g
39774773,2063,a-n-A-C-F-m,m-g
39678925,1943,a-n-A-C-F-m,m-g
39770408,2164,a-n-A-C-F-m,m-g
39686667,2107,a-n-A-C-F-m,m-g
39668625,1826,a-n-A-C-F-m,m-g
39680742,2053,a-n-A-C-F-m,m-g
39808185,2178,a-n-A-C-F-m,m-g
39711131,2118,a-n-A-C-F-m,m-g
39774161,2117,a-n-A-C-F-m,m-g
39724489,1944,a-n-A-C-F-m,m-g
39725091,1861,a-n-A-C-F-m,m-g
39750673,1894,a-n-A-C-F-m,m-g
39763292,2009,a-n-A-C-F-m,m-g
39774842,2121,a-n-A-C-F-m,m-g
39744006,1894,a-n-A-C-F-m,m-g
39701721,2048,a-n-A-C-F-m,m-g
39782658,2207,a-n-A-C-F,m-g
39662106,2199,a-n-A-C-F-m,m-g
39754304,2000,a-n-A-C-F-m,m-g
39683470,1943,a-n-A-C-F-m,m-g
39793444,2142,a-n-A-C-F-m,m-g
39807746,2178,a-n-A-C-F-m,m-g
39705675,2037,a-n-A-C-F-m,m-g
39801515,2178,a-n-A-C-F-m,m-g
39785620,2185,a-n-A-C-F-m,m-g
39792405,1971,a-n-A-C-F-m,m-g
39689546,2016,a-n-A-C-F-m,m-g
39802774,2142,a-n-A-C-F-m,m-g
39784505,2101,a-n-A-C-F-m,m-g
39666281,2005,a-n-A-C-F-m,m-g
39791319,1810,a-n-A-C-F-s,m-g
39678038,1882,a-n-A-C-F-m,m-g
39693841,2129,a-n-A-C-F-m,m-g
39692382,2103,a-n-A-C-F-m,m-g
39788680,1886,a-n-A-C-F-m,m-g
39682843,1882,a-n-A-C-F-m,m-g
39672762,1964,a-n-A-C-F-m,m-g
39761070,2186,a-n-A-C-F-m,m-g
39749619,1847,a-n-A-C-F-m,m-g
39707948,2145,a-n-A-C-F-m,m-g
39773921,1815,a-n-A-C-F,m-g
39660642,2199,a-n-A-C-F-m,m-g
39791870,2214,a-n-A-C-F-m,m-g
39736035,1847,a-n-A-C-F-m,m-g
39705959,2217,a-n-A-C-F-m,m-g
39723200,1944,a-n-A-C-F-m,m-g
39716864,1795,a-n-A-C-F-m,m-g
39665388,2033,a-n-A-C-F-m,m-g
39767075,1863,a-n-A-C-F-m,m-g
39755584,2094,a-n-A-C-F-m,m-g
39734609,1978,a-n-A-C-F-m,m-g
39708109,2177,a-n-A-C-F-m,m-g
39669671,1964,a-n-A-C-F-m,m-g
39768103,2061,a-n-A-C-F-m,m-g
39745569,1894,a-n-A-C-F-m,m-g
39768576,1864,a-n-A-C-F-m,m-g
39687497,2103,a-n-A-C-F-m,m-g
39688062,1811,a-n-A-C-F-m,m-g
39792642,2226,a-n-A-C-F-m,m-g
39764850,2049,a-n-A-C-F,m-g
39663426,2005,a-n-A-C-F-m,m-g
39808834,2078,a-n-A-C-F-m,m-g
39770052,2023,a-n-A-C-F,m-g
39777867,1933,a-n-A-C-F,m-g
39717129,1966,a-n-A-C-F-m,m-g
39701180,2217,a-n-A-C-F-m,m-g
39668135,1875,a-n-A-C-F-m,m-g
39793043,1851,a-n-A-C-F-m,m-g
39699045,2048,a-n-A-C-F-m,m-g
