id,cot_type,servertime
39659963,a-n-A-C-F-m,201705071640
39799357,a-n-A-C-F-m,201705080850
39667773,a-n-A-C-F-m,201705071650
39773042,a-n-A-C-F-m,201705072015
39762742,a-n-A-C-F-m,201705071810
39699919,a-n-A-C-F-m,201705071715
39765054,a-n-A-C-F,201705071820
39664564,a-n-A-C-F-m,201705071645
39761959,a-n-A-C-F-m,201705071805
39724338,a-n-A-C-F-m,201705071740
39660118,a-n-A-C-F-m,201705071640
39684808,a-n-A-C-F-m,201705071705
39670567,a-n-A-C-F-m,201705071650
39794801,a-n-A-C-F-m,201705080845
39707012,a-n-A-C-F-m,201705071720
39672925,a-n-A-C-F-m,201705071655
39681200,a-n-A-C-F-m,201705071700
39770250,a-n-A-C-F-m,201705071940
39669729,a-n-A-C-F-m,201705071650
39703248,a-n-A-C-F-m,201705071715
39778367,a-n-A-C-F,201705072230
39663770,a-n-A-C-F-m,201705071645
39786752,a-n-A-C-F-m,201705080700
39791565,a-n-A-C-F-m,201705080840
39772389,a-n-A-C-F-m,201705072010
39778941,a-n-A-C-F-m,201705072240
39764998,a-n-A-C-F,201705071820
39767523,a-n-A-C-F,201705071900
39682152,a-n-A-C-F-m,201705071700
39777434,a-n-A-C-F,201705072150
39788030,a-n-A-C-F-m,201705080730
39773783,a-n-A-C-F,201705072025
39781972,a-n-A-C-F-m,201705080000
39732311,a-n-A-C-F-m,201705071750
39735253,a-n-A-C-F-m,201705071755
39805746,a-n-A-C-F-m,201705080850
39717418,a-n-A-C-F-m,201705071730
39781250,a-n-A-C-F,201705072345
39786520,a-n-A-C-F-m,201705080655
39734544,a-n-A-C-F-m,201705071750
39795058,a-n-A-C-F-m,201705080845
39704321,a-n-A-C-F-m,201705071720
39722957,a-n-A-C-F-m,201705071740
39732812,a-n-A-C-F-m,201705071750
39689267,a-n-A-C-F-m,201705071705
39699253,a-n-A-C-F-m,201705071715
39775047,a-n-A-C-F-m,201705072035
39789170,a-n-A-C-F,201705080800
39793599,a-n-A-C-F-m,201705080845
39679845,a-n-A-C-F-m,201705071700
39715946,a-n-A-C-F-m,201705071725
39781883,a-n-A-C-F-m,201705080000
39687023,a-n-A-C-F-m,201705071705
39775395,a-n-A-C-F,201705072040
39696131,a-n-A-C-F-m,201705071710
39692090,a-n-A-C-F-m,201705071710
39725057,a-n-A-C-F-m,201705071740
39726516,a-n-A-C-F-m,201705071745
39763514,a-n-A-C-F-m,201705071810
39740382,a-n-A-C-F-m,201705071755
39671097,a-n-A-C-F-m,201705071650
39800153,a-n-A-C-F-m,201705080850
39782477,a-n-A-C-F-m,201705080030
39783709,a-n-A-C-F-m,201705080520
39787872,a-n-A-C-F-m,201705080725
39665086,a-n-A-C-F-m,201705071645
39779701,a-n-A-C-F,201705072250
39732973,a-n-A-C-F-m,201705071750
39786772,a-n-A-C-F-m,201705080700
39755321,a-n-A-C-F-m,201705071800
39712242,a-n-A-C-F-m,201705071725
39706092,a-n-A-C-F-m,201705071720
39707608,a-n-A-C-F-m,201705071720
39723264,a-n-A-C-F-m,201705071740
39678019,a-n-A-C-F-m,201705071655
39787937,a-n-A-C-F-m,201705080730
39729498,a-n-A-C-F-m,201705071750
39765351,a-n-A-C-F,201705071825
39801401,a-n-A-C-F-m,201705080850
39659271,a-n-A-C-F-m,201705071640
39665778,a-n-A-C-F-m,201705071645
39719423,a-n-A-C-F-m,201705071730
39682239,a-n-A-C-F-m,201705071700
39725527,a-n-A-C-F-m,201705071745
39720767,a-n-A-C-F-m,201705071735
39659129,a-n-A-C-F-m,201705071640
39763621,a-n-A-C-F-m,201705071810
39761995,a-n-A-C-F-m,201705071805
39683001,a-n-A-C-F-m,201705071700
39709596,a-n-A-C-F-m,201705071720
39688933,a-n-A-C-F-m,201705071705
39808528,a-n-A-C-F-m,201705080850
39789693,a-n-A-C-F,201705080810
39763575,a-n-A-C-F-m,201705071810
39663722,a-n-A-C-F-m,201705071645
39689701,a-n-A-C-F-m,201705071705
39791628,a-n-A-C-F-s,201705080840
39792596,a-n-A-C-F-m,201705080845
39800373,a-n-A-C-F-m,201705080850
39690981,a-n-A-C-F-m,201705071710
39657615,a-n-A-C-F-m,201705071635
39782303,a-n-A-C-F,201705080030
39681088,a-n-A-C-F-m,201705071700
39685055,a-n-A-C-F-m,201705071705
39793034,a-n-A-C-F-m,201705080845
39700265,a-n-A-C-F-m,201705071715
39788450,a-n-A-C-F-m,201705080745
39765068,a-n-A-C-F,201705071820
