name,id,cot_type,servertime
A66E52,39716343,a-n-A-C-F-m,201705071725
C0193B,39728789,a-n-A-C-F-m,201705071745
ICAO-7100C8,39764420,a-n-A-C-F,201705071815
A35AAE,39709601,a-n-A-C-F-m,201705071720
ACCA88,39795316,a-n-A-C-F-m,201705080845
AA60AF,39716046,a-n-A-C-F-m,201705071725
345241,39755537,a-n-A-C-F-m,201705071805
ICAO-AA44AC,39768217,a-n-A-C-F-m,201705071910
AA7E7C,39679256,a-n-A-C-F-m,201705071700
A1AA24,39657542,a-n-A-C-F-m,201705071635
ICAO-34520B,39722302,a-n-A-C-F,201705071735
ICAO-400F63,39778390,a-n-A-C-F,201705072230
C0193B,39728412,a-n-A-C-F-m,201705071745
ICAO-A894F2,39786752,a-n-A-C-F-m,201705080700
AB7B02,39674934,a-n-A-C-F-m,201705071655
A66E52,39718573,a-n-A-C-F-m,201705071730
AD734A,39725937,a-n-A-C-F-m,201705071745
AB7B02,39674341,a-n-A-C-F-m,201705071655
ICAO-A491FB,39781831,a-n-A-C-F-m,201705072355
A43EA6,39683851,a-n-A-C-F-m,201705071705
ICAO-4067F8,39775336,a-n-A-C-F,201705072040
ICAO-40655D,39763688,a-n-A-C-F,201705071810
ICAO-47C5CB,39767422,a-n-A-C-F,201705071900
A65527,39701915,a-n-A-C-F-m,201705071715
ABF826,39693118,a-n-A-C-F-m,201705071710
ICAO-42426C,39779900,a-n-A-C-F,201705072250
ICAO-4005BA,39781166,a-n-A-C-F,201705072340
A403F4,39711379,a-n-A-C-F-m,201705071725
A1D10C,39661205,a-n-A-C-F-m,201705071640
AB1971,39700071,a-n-A-C-F-m,201705071715
A8A3CE,39731739,a-n-A-C-F-m,201705071750
ICAO-A894F2,39786630,a-n-A-C-F-m,201705080655
ABD19E,39664157,a-n-A-C-F-m,201705071645
AA7C64,39719666,a-n-A-C-F-m,201705071730
A63665,39682474,a-n-A-C-F-m,201705071700
42423F,39663224,a-n-A-C-F-m,201705071645
A63665,39680508,a-n-A-C-F-m,201705071700
A12BCD,39724587,a-n-A-C-F-m,201705071740
A9C737,39726836,a-n-A-C-F-m,201705071745
A63665,39683852,a-n-A-C-F-m,201705071705
ICAO-A4460E,39787475,a-n-A-C-F-m,201705080720
A262A9,39673893,a-n-A-C-F-m,201705071655
