source_id,name,id,servertime,tilex,tiley
2044,ICAO-896185,39773183,201705072020,19826,24399
2208,42423F,39663685,201705071645,18901,25521
1842,A6082F,39700873,201705071715,18925,25523
1842,A6082F,39700556,201705071715,18923,25531
2208,42423F,39662998,201705071645,18889,25548
2178,A85119,39797627,201705080850,18888,25630
2219,C0193B,39733227,201705071750,18782,25660
2000,A45091,39762291,201705071810,18790,25689
2177,A65527,39701155,201705071715,18658,25633
1796,ICAO-ABA324,39772542,201705072010,18856,24020
1873,ICAO-A4FDDB,39785765,201705080635,19749,24252
2177,A65527,39700684,201705071715,18656,25643
1879,A9B85B,39727487,201705071745,18667,25481
1793,ICAO-A46CE1,39774153,201705072030,19017,24012
2021,AA75EF,39722430,201705071740,18779,25538
1830,A1AA24,39657981,201705071635,18812,25562
2071,ICAO-4D20B7,39771140,201705071950,19755,24332
1943,A63665,39682829,201705071700,18913,25515
1946,A8C802,39671744,201705071655,18952,25511
2208,42423F,39660541,201705071640,18852,25632
1795,AA60AF,39714802,201705071725,18744,25577
2177,A65527,39700537,201705071715,18655,25652
1945,A84D62,39761646,201705071805,18891,25494
1824,ACCA88,39800354,201705080850,18914,25539
1826,A7ED31,39674909,201705071655,18599,25471
2130,ICAO-398904,39771600,201705071955,19805,24302
1842,A6082F,39700832,201705071715,18925,25524
1826,A7ED31,39666552,201705071650,18596,25670
2219,C0193B,39729752,201705071750,18797,25556
1811,A2F591,39685434,201705071705,18937,25512
1826,A7ED31,39666929,201705071650,18596,25655
2094,345241,39763285,201705071810,18825,25579
1978,A4337C,39734754,201705071755,18891,25622
2005,ABA7B0,39669039,201705071650,18909,25481
1951,ICAO-A124B5,39769752,201705071935,19822,24259
2219,C0193B,39729759,201705071750,18796,25560
2127,A12F78,39762486,201705071810,19052,25443
2058,AB23B5,39713459,201705071725,18651,25490
1945,A84D62,39757218,201705071805,18842,25575
2231,ADE2B8,39793505,201705080845,18932,25460
2148,ICAO-40655D,39763774,201705071810,19811,24250
2037,A87904,39702086,201705071715,18926,25587
2118,AA6F46,39708781,201705071720,18825,25611
2196,ICAO-AAABF6,39770970,201705071950,19834,24286
1810,ICAO-A6FF58,39791010,201705080835,19776,24247
2165,ICAO-4CC27F,39763851,201705071810,19812,24243
2109,ICAO-42426C,39779804,201705072250,19816,24293
1933,ICAO-406D78,39765628,201705071830,19796,24255
1811,A2F591,39683114,201705071700,18982,25489
2129,4BA956,39692356,201705071710,19039,25523
2119,ICAO-A1804C,39785101,201705080625,19819,24284
2061,ICAO-AB39F0,39768023,201705071910,18957,24118
2185,ICAO-A967EB,39785494,201705080630,19763,24275
1830,A1AA24,39658478,201705071635,18802,25582
1836,ABF826,39688709,201705071705,18900,25539
2064,A71EFA,39672144,201705071655,18890,25526
1964,AB7B02,39666644,201705071650,18880,25501
2219,C0193B,39727376,201705071745,18806,25487
1859,ICAO-400F63,39778554,201705072230,19847,24311
2183,A8299A,39677945,201705071655,18780,25661
2001,AD935B,39712841,201705071725,18986,25602
1909,A12BCD,39725615,201705071745,18955,25603
1842,A6082F,39698794,201705071715,18911,25571
2005,ABA7B0,39665298,201705071645,18852,25586
1996,ICAO-A4322C,39681577,201705071700,19782,24257
2064,A71EFA,39674546,201705071655,18873,25578
2094,345241,39760341,201705071805,18894,25526
1935,A3EE1F,39658342,201705071635,18801,25680
1851,C06A39,39685640,201705071705,18769,25610
1861,A2DCEE,39726135,201705071745,18900,25578
1904,ICAO-A8C4D8,39777324,201705072145,19866,24347
1848,ICAO-A98F6A,39774330,201705072035,19832,24286
1903,A35AAE,39710601,201705071725,18689,25623
2199,A6A7DC,39661224,201705071640,18837,25450
1789,ICAO-A6C6C8,39767073,201705071900,18975,24082
2189,ICAO-ACD5AD,39753518,201705071800,19780,24285
1851,C06A39,39687753,201705071705,18757,25663
2200,ICAO-A76F66,39767663,201705071905,18988,24064
2005,ABA7B0,39668934,201705071650,18908,25484
1933,ICAO-406D78,39777835,201705072210,19746,24246
2078,A6F00D,39805319,201705080850,18815,25523
1945,A84D62,39756123,201705071805,18830,25594
2221,ICAO-A364EA,39729223,201705071745,19840,24284
1978,A4337C,39737111,201705071755,18909,25575
1948,A98ED9,39716019,201705071725,18795,25597
2005,ABA7B0,39665364,201705071645,18852,25585
2208,42423F,39659607,201705071640,18835,25669
2118,AA6F46,39706798,201705071720,18803,25648
2218,ICAO-A6CB48,39704389,201705071720,19805,24285
1964,AB7B02,39666292,201705071645,18884,25491
1819,A8A3CE,39727608,201705071745,18917,25497
2028,AD4F72,39803335,201705080850,18981,25476
1958,ICAO-C06C58,39721951,201705071735,18894,24041
2144,AB5BF0,39727805,201705071745,18558,25667
