"source_id","name","channel"
1789,"ICAO-A6C6C8",8
1790,"ICAO-4CAAFA",12
1791,"ICAO-400580",11
1792,"ICAO-A64A43",12
1793,"ICAO-A46CE1",2
1794,"AC763E",2
1795,"AA60AF",4
1796,"ICAO-ABA324",5
1797,"ICAO-3C4AA6",0
1798,"ICAO-AA2BA4",15
1799,"A1D10C",3
1800,"ICAO-3C6561",10
1801,"ICAO-C01D7E",5
1802,"ICAO-4007F9",1
1803,"ICAO-40073D",3
1804,"ICAO-406D26",3
1805,"C20C9",14
1806,"ICAO-A11FC7",2
1807,"ICAO-A85D50",2
1808,"ICAO-4006AF",4
1809,"ICAO-4005C0",7
1810,"ICAO-A6FF58",8
1811,"A2F591",1
1812,"AD968E",4
1813,"ICAO-479A4D",15
1814,"ICAO-4CAAFB",1
1815,"ICAO-4005C1",10
1816,"ICAO-A2CA5D",2
1817,"ICAO-A42A97",4
1818,"ICAO-A14BDE",13
1819,"A8A3CE",0
1820,"3C7065",13
1821,"ICAO-AA4548",10
1822,"ICAO-A9D640",11
1823,"ICAO-C0331E",10
1824,"ACCA88",12
1825,"AABD2B",13
1826,"A7ED31",14
1827,"ICAO-A6189C",2
1828,"ICAO-507C48",14
1829,"ICAO-A0F4A2",14
1830,"A1AA24",6
1831,"ICAO-406C39",8
1832,"ICAO-ABF3B8",4
1833,"ICAO-AC1547",7
1834,"C07EEF",12
1835,"ICAO-A75103",8
1836,"ABF826",6
1837,"ICAO-40058A",14
1838,"ICAO-ABBEE3",10
1839,"ICAO-3C7209",10
1840,"ICAO-A1AA24",6
1841,"ICAO-ACEA99",2
1842,"A6082F",12
1843,"C0410E",10
1844,"ICAO-A65527",2
1845,"ICAO-ACBF63",13
1846,"ICAO-ABD691",4
1847,"A3FF61",5
1848,"ICAO-A98F6A",2
1849,"ICAO-AB5AFE",2
1850,"ICAO-4067D6",5
1851,"C06A39",0
1852,"ICAO-ABD018",12
1853,"ICAO-896171",1
1854,"ICAO-A11F5A",10
1855,"ICAO-8004DE",9
1856,"A7FB19",15
1857,"ICAO-A86ACE",9
1858,"A83FBD",11
1859,"ICAO-400F63",13
1860,"ICAO-AC3DD5",7
1861,"A2DCEE",1
1862,"ICAO-478F43",5
1863,"ICAO-A6A7DC",12
1864,"ICAO-A1C9CD",9
1865,"ICAO-4B1884",1
1866,"A700A4",4
1867,"AC034B",15
1868,"ICAO-A03C7E",0
1869,"ICAO-3949F3",14
1870,"A642A3",10
1871,"ICAO-4006AC",7
1872,"ICAO-AA7C64",1
1873,"ICAO-A4FDDB",6
1874,"ICAO-AA6BA4",1
1875,"A6FA94",4
1876,"ICAO-AA6B9D",4
1877,"ICAO-A0CB9E",6
1878,"ICAO-AB84C9",9
1879,"A9B85B",7
1880,"A80287",8
1881,"ICAO-A81B2A",15
1882,"A836FB",7
1883,"A654CB",5
1884,"ICAO-AA1DCD",0
1885,"ICAO-A1F90E",1
1886,"ICAO-ACB9ED",15
1887,"AB4FD4",15
1888,"ICAO-AC67F2",11
1889,"ICAO-AB856C",10
1890,"AD2114",12
1891,"ICAO-ABEC03",2
1892,"ICAO-A2D93A",12
1893,"AAED5A",2
1894,"A0DDFB",14
1895,"ICAO-C05F54",6
1896,"AD846F",4
1897,"ICAO-78023E",3
1898,"A9C737",6
1899,"ICAO-4BA893",4
1900,"ICAO-4067F8",2
1901,"ICAO-AA96E2",0
1902,"A8E813",12
1903,"A35AAE",3
1904,"ICAO-A8C4D8",7
1905,"AB967B",13
1906,"ICAO-A4DAD4",7
1907,"ICAO-AA44AD",11
1908,"ICAO-C060B7",3
1909,"A12BCD",1
1910,"AA6C57",2
1911,"A50549",12
1912,"C07877",0
1913,"ICAO-ABD627",10
1914,"AC71DD",2
1915,"ABF17F",0
1916,"ICAO-A3612A",12
1917,"ICAO-AB4FEA",1
1918,"ICAO-A98BCA",0
1919,"3965A6",7
1920,"ICAO-C0080A",12
1921,"ICAO-A64294",12
1922,"ICAO-A8E4E9",10
1923,"ICAO-A47FD9",9
1924,"ICAO-A18403",15
1925,"ICAO-48AE02",9
1926,"ICAO-A372A4",15
1927,"ICAO-4242F4",3
1928,"ICAO-3C4B27",12
1929,"ICAO-780A15",5
1930,"ICAO-A19A9D",8
1931,"ICAO-A8C121",14
1932,"A0A903",6
1933,"ICAO-406D78",4
1934,"ICAO-A33B52",2
1935,"A3EE1F",13
1936,"A0A8DE",2
1937,"ICAO-A4F6DD",10
1938,"ICAO-AB5ADE",8
1939,"ICAO-A9FA5C",5
1940,"ICAO-AD2062",11
1941,"ICAO-A9067B",11
1942,"ICAO-40073F",2
1943,"A63665",11
1944,"AD734A",6
1945,"A84D62",5
1946,"A8C802",12
1947,"ICAO-AE0224",2
1948,"A98ED9",7
1949,"A7E62D",12
1950,"ICAO-3C7065",10
