id,source_id,cot_type
39782313,2081,a-n-A-C-F
39734140,1847,a-n-A-C-F-m
39785770,1873,a-n-A-C-F-m
39771228,2071,a-n-A-C-F
39769646,1930,a-n-A-C-F-m
39668603,1875,a-n-A-C-F-m
39696226,1811,a-n-A-C-F-m
39681716,1943,a-n-A-C-F-m
39720355,1966,a-n-A-C-F-m
39768449,2225,a-n-A-C-F-m
39729258,1883,a-n-A-C-F-m
39774096,1815,a-n-A-C-F
39666259,2033,a-n-A-C-F-m
39782216,1809,a-n-A-C-F
39795341,2178,a-n-A-C-F-m
39770336,2108,a-n-A-C-F
39785936,1873,a-n-A-C-F-m
39778359,1871,a-n-A-C-F
39725276,1879,a-n-A-C-F-m
39782783,1899,a-n-A-C-F
39768442,2122,a-n-A-C-F
39661296,1841,a-n-A-C-F-m
39725616,1909,a-n-A-C-F-m
39661817,2135,a-n-A-C-F-m
39780506,2091,a-n-A-C-F-m
39774428,2121,a-n-A-C-F-m
39687467,2103,a-n-A-C-F-m
39707103,2048,a-n-A-C-F-m
39659919,2208,a-n-A-C-F-m
39660491,1799,a-n-A-C-F-m
39661446,2208,a-n-A-C-F-m
39761584,1959,a-n-A-C-F-m
39783806,2069,a-n-A-C-F-m
39671041,1964,a-n-A-C-F-m
39808858,1902,a-n-A-C-F-m
39693618,1842,a-n-A-C-F-m
39691438,2073,a-n-A-C-F-m
39764297,2148,a-n-A-C-F
39667288,1946,a-n-A-C-F-m
39729411,1883,a-n-A-C-F-m
39783639,1962,a-n-A-C-F-m
39719115,2196,a-n-A-C-F-m
39804999,1971,a-n-A-C-F-m
39667468,2005,a-n-A-C-F-m
39661177,2208,a-n-A-C-F-m
39773530,1947,a-n-A-C-F
39675390,2183,a-n-A-C-F-m
39691439,1811,a-n-A-C-F-m
39708825,2145,a-n-A-C-F-m
39762015,2127,a-n-A-C-F-m
39683085,1943,a-n-A-C-F-m
39758685,2094,a-n-A-C-F-m
39776830,2010,a-n-A-C-F-m
39670419,1946,a-n-A-C-F-m
39662639,1887,a-n-A-C-F-m
39720596,2196,a-n-A-C-F-m
39760705,1945,a-n-A-C-F-m
39775288,1926,a-n-A-C-F-m
39800971,2226,a-n-A-C-F-m
39798837,2102,a-n-A-C-F-m
39721007,1998,a-n-A-C-F-m
39707924,1948,a-n-A-C-F-m
39794899,2062,a-n-A-C-F-m
39777969,2099,a-n-A-C-F-m
39781910,2096,a-n-A-C-F-m
39662467,2005,a-n-A-C-F-m
39794745,2226,a-n-A-C-F-m
39658654,1830,a-n-A-C-F-m
39665469,2033,a-n-A-C-F-m
39694474,2151,a-n-A-C-F-m
39684655,2073,a-n-A-C-F-m
39769064,2206,a-n-A-C-F-m
39660966,2199,a-n-A-C-F-m
39771210,2050,a-n-A-C-F-m
39712902,2167,a-n-A-C-F-m
39743107,1978,a-n-A-C-F-m
39682783,1851,a-n-A-C-F-m
39785300,2185,a-n-A-C-F-m
39806900,2142,a-n-A-C-F-m
39719314,1966,a-n-A-C-F-m
39806542,2231,a-n-A-C-F-m
39794297,2226,a-n-A-C-F-m
39784492,2101,a-n-A-C-F-m
39778526,1859,a-n-A-C-F
39720776,1998,a-n-A-C-F-m
39697730,1836,a-n-A-C-F-m
39735204,1819,a-n-A-C-F-m
39768982,1889,a-n-A-C-F-m
39704222,2218,a-n-A-C-F-m
39776673,2197,a-n-A-C-F-m
39658045,1830,a-n-A-C-F-m
39689049,2107,a-n-A-C-F-m
39795133,1824,a-n-A-C-F-m
39733270,2221,a-n-A-C-F-m
39746203,1978,a-n-A-C-F-m
39715773,1948,a-n-A-C-F-m
39779292,2137,a-n-A-C-F-m
39741378,2220,a-n-A-C-F-m
39665372,1875,a-n-A-C-F-m
39785453,2185,a-n-A-C-F-m
39767667,1920,a-n-A-C-F
39661263,1841,a-n-A-C-F-m
39700777,2048,a-n-A-C-F-m
39723515,1861,a-n-A-C-F-m
39665704,2005,a-n-A-C-F-m
39665510,2033,a-n-A-C-F-m
39768391,2122,a-n-A-C-F
39699928,2048,a-n-A-C-F-m
39794594,2231,a-n-A-C-F-m
39715892,1948,a-n-A-C-F-m
39746640,1847,a-n-A-C-F-m
39794011,1824,a-n-A-C-F-m
39722842,1998,a-n-A-C-F-m
39754073,1894,a-n-A-C-F-m
39680904,1851,a-n-A-C-F-m
39764396,2049,a-n-A-C-F
39768801,1889,a-n-A-C-F-m
39769903,1951,a-n-A-C-F-m
39798855,1824,a-n-A-C-F-m
39785403,2185,a-n-A-C-F-m
39699193,1842,a-n-A-C-F-m
39781842,2096,a-n-A-C-F-m
39764657,2128,a-n-A-C-F-m
39774850,1848,a-n-A-C-F-m
39794750,2231,a-n-A-C-F-m
39808360,2078,a-n-A-C-F-m
39697646,2048,a-n-A-C-F-m
39735635,1978,a-n-A-C-F-m
39697096,1965,a-n-A-C-F-m
39697965,2037,a-n-A-C-F-m
39720735,1966,a-n-A-C-F-m
39680026,2053,a-n-A-C-F-m
39759431,2220,a-n-A-C-F-m
39657904,1830,a-n-A-C-F-m
39679018,2046,a-n-A-C-F-m
39666049,2005,a-n-A-C-F-m
39725660,1879,a-n-A-C-F-m
39663077,2005,a-n-A-C-F-m
39734321,1819,a-n-A-C-F-m
39692277,1811,a-n-A-C-F-m
39700354,1988,a-n-A-C-F-m
39808621,2142,a-n-A-C-F-m
39782155,2065,a-n-A-C-F
39731014,2211,a-n-A-C-F-m
39703774,2048,a-n-A-C-F-m
39804261,2062,a-n-A-C-F-m
39761456,1959,a-n-A-C-F-m
39668721,2005,a-n-A-C-F-m
39680953,2184,a-n-A-C-F-m
39776791,2007,a-n-A-C-F
39801323,1971,a-n-A-C-F-m
39715375,2058,a-n-A-C-F-m
39773302,1876,a-n-A-C-F-m
39733237,2219,a-n-A-C-F-m
39660612,1975,a-n-A-C-F-m
39663667,2005,a-n-A-C-F-m
39770513,2106,a-n-A-C-F-m
39779607,2230,a-n-A-C-F-m
39789444,2140,a-n-A-C-F
39777431,2207,a-n-A-C-F
39664539,2208,a-n-A-C-F-m
39777843,2011,a-n-A-C-F
39663547,2208,a-n-A-C-F-m
39678855,1943,a-n-A-C-F-m
39678777,2183,a-n-A-C-F-m
39755015,2000,a-n-A-C-F-m
39702370,2048,a-n-A-C-F-m
39771057,2050,a-n-A-C-F-m
39664202,2208,a-n-A-C-F-m
39687576,1811,a-n-A-C-F-m
39711846,2217,a-n-A-C-F-m
39662764,2033,a-n-A-C-F-m
39687064,1851,a-n-A-C-F-m
39700254,2048,a-n-A-C-F-m
39775404,1926,a-n-A-C-F-m
39728568,1819,a-n-A-C-F-m
39669172,1964,a-n-A-C-F-m
39705815,1912,a-n-A-C-F-m
39758403,2009,a-n-A-C-F-m
39735328,2211,a-n-A-C-F-m
39693237,1965,a-n-A-C-F-m
39675708,1943,a-n-A-C-F-m
39781344,1987,a-n-A-C-F
39783539,2188,a-n-A-C-F
39785470,2185,a-n-A-C-F-m
39712628,1903,a-n-A-C-F-m
39668732,2033,a-n-A-C-F-m
39707263,2217,a-n-A-C-F-m
39688186,2103,a-n-A-C-F-m
39700245,2048,a-n-A-C-F-m
39795038,1971,a-n-A-C-F-m
39763357,2094,a-n-A-C-F-m
39755399,1894,a-n-A-C-F-m
39726444,1898,a-n-A-C-F-m
39682592,2073,a-n-A-C-F-m
39676220,2064,a-n-A-C-F-m
39763049,1959,a-n-A-C-F-m
39699489,1842,a-n-A-C-F-m
39727040,1879,a-n-A-C-F-m
39720521,2196,a-n-A-C-F-m
39688146,1938,a-n-A-C-F-m
39661987,2199,a-n-A-C-F-m
39672684,2046,a-n-A-C-F-m
39765886,1916,a-n-A-C-F-m
39718267,1903,a-n-A-C-F-m
39666423,1875,a-n-A-C-F-m
39700613,1965,a-n-A-C-F-m
39684817,1943,a-n-A-C-F-m
39788217,1855,a-n-A-C-F
39686462,1851,a-n-A-C-F-m
39685984,1811,a-n-A-C-F-m
