id,source_id,cot_type
39791749,1810,a-n-A-C-F-s
39791198,1810,a-n-A-C-F-s
39791118,1810,a-n-A-C-F-s
39791556,1810,a-n-A-C-F-s
39791031,1810,a-n-A-C-F-s
39679079,1996,a-n-A-C-F-s
39791459,1810,a-n-A-C-F-s
39786843,1917,a-n-A-C-F-s
39677265,1996,a-n-A-C-F-s
39786879,1917,a-n-A-C-F-s
39791512,1810,a-n-A-C-F-s
39791112,1810,a-n-A-C-F-s
39791312,1810,a-n-A-C-F-s
39681259,1996,a-n-A-C-F-s
39786236,1934,a-n-A-C-F-s
39679347,1996,a-n-A-C-F-s
39788285,1934,a-n-A-C-F-s
39676223,1996,a-n-A-C-F-s
39791706,1810,a-n-A-C-F-s
39791441,1810,a-n-A-C-F-s
39791056,1810,a-n-A-C-F-s
39791807,1810,a-n-A-C-F-s
39791121,1810,a-n-A-C-F-s
39679710,1996,a-n-A-C-F-s
39791182,1810,a-n-A-C-F-s
39791495,1810,a-n-A-C-F-s
39676207,1996,a-n-A-C-F-s
39791097,1810,a-n-A-C-F-s
39786215,1934,a-n-A-C-F-s
39791564,1810,a-n-A-C-F-s
39791092,1810,a-n-A-C-F-s
39679424,1996,a-n-A-C-F-s
39676728,1996,a-n-A-C-F-s
39791350,1810,a-n-A-C-F-s
39681488,1996,a-n-A-C-F-s
39791583,1810,a-n-A-C-F-s
39791628,1810,a-n-A-C-F-s
39786230,1934,a-n-A-C-F-s
39677420,1996,a-n-A-C-F-s
39791614,1810,a-n-A-C-F-s
39791296,1810,a-n-A-C-F-s
39676565,1996,a-n-A-C-F-s
39680274,1996,a-n-A-C-F-s
39682330,1996,a-n-A-C-F-s
39677246,1996,a-n-A-C-F-s
39680586,1996,a-n-A-C-F-s
39791044,1810,a-n-A-C-F-s
39786197,1934,a-n-A-C-F-s
39791008,1810,a-n-A-C-F-s
39790944,1810,a-n-A-C-F-s
39681539,1996,a-n-A-C-F-s
39786270,1934,a-n-A-C-F-s
39791369,1810,a-n-A-C-F-s
39786836,1917,a-n-A-C-F-s
39675637,1996,a-n-A-C-F-s
39679410,1996,a-n-A-C-F-s
39678367,1996,a-n-A-C-F-s
39791683,1810,a-n-A-C-F-s
39791281,1810,a-n-A-C-F-s
39790923,1810,a-n-A-C-F-s
39788292,1934,a-n-A-C-F-s
39791005,1810,a-n-A-C-F-s
39791126,1810,a-n-A-C-F-s
39790942,1810,a-n-A-C-F-s
39791324,1810,a-n-A-C-F-s
39791285,1810,a-n-A-C-F-s
39786212,1934,a-n-A-C-F-s
39790959,1810,a-n-A-C-F-s
39674844,1996,a-n-A-C-F-s
39791476,1810,a-n-A-C-F-s
39791570,1810,a-n-A-C-F-s
39792017,2041,a-n-A-C-F-s
39791228,1810,a-n-A-C-F-s
39786229,1934,a-n-A-C-F-s
39791447,1810,a-n-A-C-F-s
39791280,1810,a-n-A-C-F-s
39681151,1996,a-n-A-C-F-s
39791064,1810,a-n-A-C-F-s
39681367,1996,a-n-A-C-F-s
39682217,1996,a-n-A-C-F-s
39681064,1996,a-n-A-C-F-s
39678760,1996,a-n-A-C-F-s
39681693,1996,a-n-A-C-F-s
39837489,2036,a-n-A-C-F-s
39791099,1810,a-n-A-C-F-s
39790956,1810,a-n-A-C-F-s
39791562,1810,a-n-A-C-F-s
39791148,1810,a-n-A-C-F-s
39791181,1810,a-n-A-C-F-s
39680352,1996,a-n-A-C-F-s
39786858,1917,a-n-A-C-F-s
39792021,2041,a-n-A-C-F-s
39786837,1917,a-n-A-C-F-s
39677564,1996,a-n-A-C-F-s
39786912,1917,a-n-A-C-F-s
39791436,1810,a-n-A-C-F-s
39676624,1996,a-n-A-C-F-s
39786214,1934,a-n-A-C-F-s
39765213,2132,a-n-A-C-F-s
39791094,1810,a-n-A-C-F-s
39791713,1810,a-n-A-C-F-s
39680034,1996,a-n-A-C-F-s
39791655,1810,a-n-A-C-F-s
39791794,1810,a-n-A-C-F-s
39786250,1934,a-n-A-C-F-s
39791107,1810,a-n-A-C-F-s
39791446,1810,a-n-A-C-F-s
39791152,1810,a-n-A-C-F-s
39791153,1810,a-n-A-C-F-s
39791621,1810,a-n-A-C-F-s
39791262,1810,a-n-A-C-F-s
39786869,1917,a-n-A-C-F-s
39790909,1810,a-n-A-C-F-s
39790936,1810,a-n-A-C-F-s
39677162,1996,a-n-A-C-F-s
39678982,1996,a-n-A-C-F-s
39791179,1810,a-n-A-C-F-s
39675848,1996,a-n-A-C-F-s
39788298,1934,a-n-A-C-F-s
39792014,2041,a-n-A-C-F-s
39786882,1917,a-n-A-C-F-s
39678835,1996,a-n-A-C-F-s
39791959,2041,a-n-A-C-F-s
39791034,1810,a-n-A-C-F-s
39786278,1934,a-n-A-C-F-s
39791124,1810,a-n-A-C-F-s
39681274,1996,a-n-A-C-F-s
39791468,1810,a-n-A-C-F-s
39791249,1810,a-n-A-C-F-s
39790940,1810,a-n-A-C-F-s
39791649,1810,a-n-A-C-F-s
39786205,1934,a-n-A-C-F-s
39675733,1996,a-n-A-C-F-s
39791264,1810,a-n-A-C-F-s
39791084,1810,a-n-A-C-F-s
39791499,1810,a-n-A-C-F-s
39790958,1810,a-n-A-C-F-s
39791401,1810,a-n-A-C-F-s
39682425,1996,a-n-A-C-F-s
39791172,1810,a-n-A-C-F-s
39791059,1810,a-n-A-C-F-s
39791432,1810,a-n-A-C-F-s
39681778,1996,a-n-A-C-F-s
39786873,1917,a-n-A-C-F-s
39791472,1810,a-n-A-C-F-s
39791007,1810,a-n-A-C-F-s
39786892,1917,a-n-A-C-F-s
39791019,1810,a-n-A-C-F-s
39786880,1917,a-n-A-C-F-s
39791319,1810,a-n-A-C-F-s
39791244,1810,a-n-A-C-F-s
39791053,1810,a-n-A-C-F-s
39786254,1934,a-n-A-C-F-s
39790963,1810,a-n-A-C-F-s
39791921,1810,a-n-A-C-F-s
39786884,1917,a-n-A-C-F-s
39676861,1996,a-n-A-C-F-s
39791163,1810,a-n-A-C-F-s
39677969,1996,a-n-A-C-F-s
39791736,1810,a-n-A-C-F-s
39682337,1996,a-n-A-C-F-s
39791045,1810,a-n-A-C-F-s
39676705,1996,a-n-A-C-F-s
39681183,1996,a-n-A-C-F-s
39681112,1996,a-n-A-C-F-s
39788289,1934,a-n-A-C-F-s
39791702,1810,a-n-A-C-F-s
39678324,1996,a-n-A-C-F-s
39677049,1996,a-n-A-C-F-s
39681229,1996,a-n-A-C-F-s
39791098,1810,a-n-A-C-F-s
39676461,1996,a-n-A-C-F-s
39681732,1996,a-n-A-C-F-s
39676062,1996,a-n-A-C-F-s
39791809,1810,a-n-A-C-F-s
39676125,1996,a-n-A-C-F-s
39791392,1810,a-n-A-C-F-s
39791424,1810,a-n-A-C-F-s
39790912,1810,a-n-A-C-F-s
39682289,1996,a-n-A-C-F-s
39786889,1917,a-n-A-C-F-s
39791025,1810,a-n-A-C-F-s
39791140,1810,a-n-A-C-F-s
39791576,1810,a-n-A-C-F-s
39791492,1810,a-n-A-C-F-s
39677557,1996,a-n-A-C-F-s
39678969,1996,a-n-A-C-F-s
39791739,1810,a-n-A-C-F-s
39680496,1996,a-n-A-C-F-s
39786234,1934,a-n-A-C-F-s
39676928,1996,a-n-A-C-F-s
39791151,1810,a-n-A-C-F-s
39786841,1917,a-n-A-C-F-s
39790939,1810,a-n-A-C-F-s
39790950,1810,a-n-A-C-F-s
39790947,1810,a-n-A-C-F-s
39791218,1810,a-n-A-C-F-s
39791734,1810,a-n-A-C-F-s
39682123,1996,a-n-A-C-F-s
39791955,2041,a-n-A-C-F-s
39788273,1934,a-n-A-C-F-s
39791289,1810,a-n-A-C-F-s
39791957,2041,a-n-A-C-F-s
39681555,1996,a-n-A-C-F-s
39792136,2041,a-n-A-C-F-s
39791665,1810,a-n-A-C-F-s
39788263,1934,a-n-A-C-F-s
39791950,2041,a-n-A-C-F-s
39791012,1810,a-n-A-C-F-s
39786833,1917,a-n-A-C-F-s
39681786,1996,a-n-A-C-F-s
39791657,1810,a-n-A-C-F-s
39790934,1810,a-n-A-C-F-s
39788302,1934,a-n-A-C-F-s
39791486,1810,a-n-A-C-F-s
39676851,1996,a-n-A-C-F-s
39791378,1810,a-n-A-C-F-s
39791637,1810,a-n-A-C-F-s
39677308,1996,a-n-A-C-F-s
39791625,1810,a-n-A-C-F-s
39791786,1810,a-n-A-C-F-s
39682072,1996,a-n-A-C-F-s
39791803,1810,a-n-A-C-F-s
39791653,1810,a-n-A-C-F-s
39786206,1934,a-n-A-C-F-s
39675630,1996,a-n-A-C-F-s
39788284,1934,a-n-A-C-F-s
39786844,1917,a-n-A-C-F-s
39791590,1810,a-n-A-C-F-s
39675466,1996,a-n-A-C-F-s
39791674,1810,a-n-A-C-F-s
39790977,1810,a-n-A-C-F-s
39786193,1934,a-n-A-C-F-s
39786842,1917,a-n-A-C-F-s
39792011,2041,a-n-A-C-F-s
39791732,1810,a-n-A-C-F-s
39791167,1810,a-n-A-C-F-s
39791618,1810,a-n-A-C-F-s
39791049,1810,a-n-A-C-F-s
39786871,1917,a-n-A-C-F-s
39788304,1934,a-n-A-C-F-s
39791135,1810,a-n-A-C-F-s
39792024,2041,a-n-A-C-F-s
39788291,1934,a-n-A-C-F-s
39791272,1810,a-n-A-C-F-s
39676948,1996,a-n-A-C-F-s
39786883,1917,a-n-A-C-F-s
39790918,1810,a-n-A-C-F-s
39791269,1810,a-n-A-C-F-s
39791010,1810,a-n-A-C-F-s
39791376,1810,a-n-A-C-F-s
39791067,1810,a-n-A-C-F-s
39791493,1810,a-n-A-C-F-s
39681310,1996,a-n-A-C-F-s
39786877,1917,a-n-A-C-F-s
39791304,1810,a-n-A-C-F-s
39681454,1996,a-n-A-C-F-s
39680111,1996,a-n-A-C-F-s
39791425,1810,a-n-A-C-F-s
39788272,1934,a-n-A-C-F-s
39790919,1810,a-n-A-C-F-s
39791122,1810,a-n-A-C-F-s
39786866,1917,a-n-A-C-F-s
39791417,1810,a-n-A-C-F-s
39791764,1810,a-n-A-C-F-s
39681095,1996,a-n-A-C-F-s
39675447,1996,a-n-A-C-F-s
39679416,1996,a-n-A-C-F-s
39791065,1810,a-n-A-C-F-s
39786898,1917,a-n-A-C-F-s
39791171,1810,a-n-A-C-F-s
39678976,1996,a-n-A-C-F-s
39791293,1810,a-n-A-C-F-s
39677801,1996,a-n-A-C-F-s
39791041,1810,a-n-A-C-F-s
39791254,1810,a-n-A-C-F-s
39675978,1996,a-n-A-C-F-s
39791144,1810,a-n-A-C-F-s
39791930,2041,a-n-A-C-F-s
39681482,1996,a-n-A-C-F-s
39677795,1996,a-n-A-C-F-s
39791022,1810,a-n-A-C-F-s
39791526,1810,a-n-A-C-F-s
39836098,2036,a-n-A-C-F-s
39680907,1996,a-n-A-C-F-s
39682691,1996,a-n-A-C-F-s
39681510,1996,a-n-A-C-F-s
39678994,1996,a-n-A-C-F-s
39680720,1996,a-n-A-C-F-s
39679235,1996,a-n-A-C-F-s
39791063,1810,a-n-A-C-F-s
39791694,1810,a-n-A-C-F-s
39676793,1996,a-n-A-C-F-s
39786907,1917,a-n-A-C-F-s
39791788,1810,a-n-A-C-F-s
39791691,1810,a-n-A-C-F-s
39791073,1810,a-n-A-C-F-s
39786225,1934,a-n-A-C-F-s
39788267,1934,a-n-A-C-F-s
39791188,1810,a-n-A-C-F-s
39677295,1996,a-n-A-C-F-s
39791160,1810,a-n-A-C-F-s
39676304,1996,a-n-A-C-F-s
39791427,1810,a-n-A-C-F-s
39681650,1996,a-n-A-C-F-s
39680196,1996,a-n-A-C-F-s
39788297,1934,a-n-A-C-F-s
39791247,1810,a-n-A-C-F-s
39679179,1996,a-n-A-C-F-s
39790965,1810,a-n-A-C-F-s
39681252,1996,a-n-A-C-F-s
39682478,1996,a-n-A-C-F-s
39678188,1996,a-n-A-C-F-s
39786209,1934,a-n-A-C-F-s
39791650,1810,a-n-A-C-F-s
39791796,1810,a-n-A-C-F-s
39680175,1996,a-n-A-C-F-s
39786199,1934,a-n-A-C-F-s
39791497,1810,a-n-A-C-F-s
39786222,1934,a-n-A-C-F-s
39791542,1810,a-n-A-C-F-s
39786867,1917,a-n-A-C-F-s
39786874,1917,a-n-A-C-F-s
39791770,1810,a-n-A-C-F-s
39791540,1810,a-n-A-C-F-s
39791461,1810,a-n-A-C-F-s
39790904,1810,a-n-A-C-F-s
39788268,1934,a-n-A-C-F-s
39791105,1810,a-n-A-C-F-s
39791725,1810,a-n-A-C-F-s
39791608,1810,a-n-A-C-F-s
39837025,2036,a-n-A-C-F-s
39786257,1934,a-n-A-C-F-s
39679360,1996,a-n-A-C-F-s
39681770,1996,a-n-A-C-F-s
39791150,1810,a-n-A-C-F-s
39791074,1810,a-n-A-C-F-s
39786875,1917,a-n-A-C-F-s
39791359,1810,a-n-A-C-F-s
39791934,2041,a-n-A-C-F-s
39791308,1810,a-n-A-C-F-s
39791524,1810,a-n-A-C-F-s
39786221,1934,a-n-A-C-F-s
39786210,1934,a-n-A-C-F-s
39791952,2041,a-n-A-C-F-s
39791700,1810,a-n-A-C-F-s
39788269,1934,a-n-A-C-F-s
39786886,1917,a-n-A-C-F-s
39790960,1810,a-n-A-C-F-s
39791419,1810,a-n-A-C-F-s
39790982,1810,a-n-A-C-F-s
39786834,1917,a-n-A-C-F-s
39791301,1810,a-n-A-C-F-s
39676712,1996,a-n-A-C-F-s
39791024,1810,a-n-A-C-F-s
39791434,1810,a-n-A-C-F-s
39791824,1810,a-n-A-C-F-s
39676549,1996,a-n-A-C-F-s
39791631,1810,a-n-A-C-F-s
39790952,1810,a-n-A-C-F-s
39791133,1810,a-n-A-C-F-s
39681400,1996,a-n-A-C-F-s
39788287,1934,a-n-A-C-F-s
39791166,1810,a-n-A-C-F-s
39786870,1917,a-n-A-C-F-s
39791636,1810,a-n-A-C-F-s
39676768,1996,a-n-A-C-F-s
39790914,1810,a-n-A-C-F-s
39765189,2132,a-n-A-C-F-s
39791134,1810,a-n-A-C-F-s
39679490,1996,a-n-A-C-F-s
39681999,1996,a-n-A-C-F-s
39791753,1810,a-n-A-C-F-s
39681388,1996,a-n-A-C-F-s
39678564,1996,a-n-A-C-F-s
39791251,1810,a-n-A-C-F-s
39679282,1996,a-n-A-C-F-s
39791490,1810,a-n-A-C-F-s
39791346,1810,a-n-A-C-F-s
39791300,1810,a-n-A-C-F-s
39681109,1996,a-n-A-C-F-s
39791746,1810,a-n-A-C-F-s
39678168,1996,a-n-A-C-F-s
39681633,1996,a-n-A-C-F-s
39681844,1996,a-n-A-C-F-s
39678779,1996,a-n-A-C-F-s
39681494,1996,a-n-A-C-F-s
39791256,1810,a-n-A-C-F-s
39791291,1810,a-n-A-C-F-s
39680618,1996,a-n-A-C-F-s
39791669,1810,a-n-A-C-F-s
