id,source_id,cot_type,how
39775490,1906,a-n-A-C-F-m,m-g
39687807,2151,a-n-A-C-F-m,m-g
39728886,2211,a-n-A-C-F-m,m-g
39687862,1965,a-n-A-C-F-m,m-g
39680101,2184,a-n-A-C-F-m,m-g
39772668,2190,a-n-A-C-F-m,m-g
39660483,1799,a-n-A-C-F-m,m-g
39660586,2199,a-n-A-C-F-m,m-g
39792812,1971,a-n-A-C-F-m,m-g
39665936,1982,a-n-A-C-F-m,m-g
39736022,1819,a-n-A-C-F-m,m-g
39691674,2151,a-n-A-C-F-m,m-g
39725581,1944,a-n-A-C-F-m,m-g
39674094,2064,a-n-A-C-F-m,m-g
39706062,2037,a-n-A-C-F-m,m-g
39667174,2005,a-n-A-C-F-m,m-g
39719040,1998,a-n-A-C-F-m,m-g
39805755,2077,a-n-A-C-F-m,m-g
39734054,1819,a-n-A-C-F-m,m-g
39726107,1969,a-n-A-C-F-m,m-g
39675481,2184,a-n-A-C-F-m,m-g
39787251,2093,a-n-A-C-F-m,m-g
39784486,2101,a-n-A-C-F-m,m-g
39724092,1944,a-n-A-C-F-m,m-g
39674475,2210,a-n-A-C-F-m,m-g
39666434,2005,a-n-A-C-F-m,m-g
39688478,1811,a-n-A-C-F-m,m-g
39682131,1851,a-n-A-C-F-m,m-g
39780231,2060,a-n-A-C-F,m-g
39727646,1909,a-n-A-C-F-m,m-g
39780705,2059,a-n-A-C-F-m,m-g
39701938,2112,a-n-A-C-F-m,m-g
39761852,2127,a-n-A-C-F-m,m-g
39724274,1861,a-n-A-C-F-m,m-g
39763959,2165,a-n-A-C-F,m-g
39733789,1847,a-n-A-C-F-m,m-g
39779344,2230,a-n-A-C-F-m,m-g
39770545,1925,a-n-A-C-F,m-g
39739701,1847,a-n-A-C-F-m,m-g
39687888,2107,a-n-A-C-F-m,m-g
39714732,1795,a-n-A-C-F-m,m-g
39795100,1824,a-n-A-C-F-m,m-g
39725804,1909,a-n-A-C-F-m,m-g
39701822,2048,a-n-A-C-F-m,m-g
39672044,2064,a-n-A-C-F-m,m-g
39763781,2168,a-n-A-C-F,m-g
39676374,2064,a-n-A-C-F-m,m-g
39694020,2016,a-n-A-C-F-m,m-g
39716110,2167,a-n-A-C-F-m,m-g
39744707,1978,a-n-A-C-F-m,m-g
39666681,1964,a-n-A-C-F-m,m-g
39739732,1894,a-n-A-C-F-m,m-g
39778271,2213,a-n-A-C-F,m-g
39682519,1882,a-n-A-C-F-m,m-g
39667508,1964,a-n-A-C-F-m,m-g
39791284,1810,a-n-A-C-F-s,m-g
39698700,2112,a-n-A-C-F-m,m-g
39770126,2149,a-n-A-C-F-m,m-g
39724436,1879,a-n-A-C-F-m,m-g
39801524,1902,a-n-A-C-F-m,m-g
39725077,1861,a-n-A-C-F-m,m-g
39738516,1847,a-n-A-C-F-m,m-g
39710192,2177,a-n-A-C-F-m,m-g
39662179,1799,a-n-A-C-F-m,m-g
39795629,2142,a-n-A-C-F-m,m-g
39679491,1882,a-n-A-C-F-m,m-g
39781484,1987,a-n-A-C-F,m-g
39788465,2031,a-n-A-C-F-m,m-g
39765534,1967,a-n-A-C-F-m,m-g
39695504,2151,a-n-A-C-F-m,m-g
39743637,2220,a-n-A-C-F-m,m-g
39768213,2150,a-n-A-C-F-m,m-g
39755231,1894,a-n-A-C-F-m,m-g
39792478,1971,a-n-A-C-F-m,m-g
39765133,1968,a-n-A-C-F,m-g
39661321,1830,a-n-A-C-F-m,m-g
39680357,1811,a-n-A-C-F-m,m-g
39677571,2046,a-n-A-C-F-m,m-g
39706034,2112,a-n-A-C-F-m,m-g
39791392,1810,a-n-A-C-F-s,m-g
39726973,1819,a-n-A-C-F-m,m-g
39683792,1851,a-n-A-C-F-m,m-g
39793940,2226,a-n-A-C-F-m,m-g
39787686,1901,a-n-A-C-F-m,m-g
39659738,1830,a-n-A-C-F-m,m-g
39768943,1954,a-n-A-C-F,m-g
39728264,1819,a-n-A-C-F-m,m-g
39772976,2190,a-n-A-C-F-m,m-g
39706065,2112,a-n-A-C-F-m,m-g
39752912,2189,a-n-A-C-F-m,m-g
39788706,1886,a-n-A-C-F-m,m-g
39679894,2187,a-n-A-C-F-m,m-g
39788119,1855,a-n-A-C-F,m-g
39761994,1914,a-n-A-C-F-m,m-g
39685133,1943,a-n-A-C-F-m,m-g
39719603,2196,a-n-A-C-F-m,m-g
39793637,2062,a-n-A-C-F-m,m-g
39787900,1901,a-n-A-C-F-m,m-g
39783117,1797,a-n-A-C-F,m-g
39732476,2219,a-n-A-C-F-m,m-g
39767571,2152,a-n-A-C-F,m-g
39728374,1909,a-n-A-C-F-m,m-g
39704888,2217,a-n-A-C-F-m,m-g
39754370,2009,a-n-A-C-F-m,m-g
39697645,1965,a-n-A-C-F-m,m-g
39724916,1944,a-n-A-C-F-m,m-g
39766926,1789,a-n-A-C-F-m,m-g
39663198,2005,a-n-A-C-F-m,m-g
39792903,1971,a-n-A-C-F-m,m-g
39666284,1964,a-n-A-C-F-m,m-g
39716299,1948,a-n-A-C-F-m,m-g
39672491,1946,a-n-A-C-F-m,m-g
39710184,2180,a-n-A-C-F-m,m-g
39691821,2151,a-n-A-C-F-m,m-g
39708585,2092,a-n-A-C-F-m,m-g
39664255,2135,a-n-A-C-F-m,m-g
39660636,2199,a-n-A-C-F-m,m-g
39735828,1819,a-n-A-C-F-m,m-g
39687749,2073,a-n-A-C-F-m,m-g
39679286,2183,a-n-A-C-F-m,m-g
39787063,2218,a-n-A-C-F-m,m-g
39674748,2184,a-n-A-C-F-m,m-g
39805096,2226,a-n-A-C-F-m,m-g
39680358,1882,a-n-A-C-F-m,m-g
39804271,2024,a-n-A-C-F-m,m-g
