name,id,cot_type,servertime
A98ED9,39714799,a-n-A-C-F-m,201705071725
A7FED0,39698663,a-n-A-C-F-m,201705071715
A98ED9,39718915,a-n-A-C-F-m,201705071730
A9B85B,39725373,a-n-A-C-F-m,201705071745
AACF19,39759989,a-n-A-C-F-m,201705071805
AACF19,39756643,a-n-A-C-F-m,201705071805
A9B85B,39725000,a-n-A-C-F-m,201705071740
A836FB,39672296,a-n-A-C-F-m,201705071655
ICAO-4006AE,39777440,a-n-A-C-F,201705072150
A98ED9,39711805,a-n-A-C-F-m,201705071725
A7FED0,39707875,a-n-A-C-F-m,201705071720
A7FED0,39702248,a-n-A-C-F-m,201705071715
A836FB,39673796,a-n-A-C-F-m,201705071655
ICAO-A98539,39768561,a-n-A-C-F-m,201705071910
ICAO-4006AC,39778341,a-n-A-C-F,201705072230
A836FB,39684119,a-n-A-C-F-m,201705071705
AACF19,39760605,a-n-A-C-F-m,201705071805
A7FED0,39703728,a-n-A-C-F-m,201705071720
AACF19,39742156,a-n-A-C-F-m,201705071755
A9B85B,39724849,a-n-A-C-F-m,201705071740
A9B85B,39721756,a-n-A-C-F-m,201705071735
AACF19,39741378,a-n-A-C-F-m,201705071755
A98ED9,39710773,a-n-A-C-F-m,201705071725
AACF19,39758970,a-n-A-C-F-m,201705071805
AACF19,39739443,a-n-A-C-F-m,201705071755
A583F5,39661623,a-n-A-C-F-m,201705071640
A9B85B,39722750,a-n-A-C-F-m,201705071740
A583F5,39656914,a-n-A-C-F-m,201705071635
A9B85B,39725658,a-n-A-C-F-m,201705071745
3965A6,39734924,a-n-A-C-F-m,201705071755
A7FED0,39698258,a-n-A-C-F-m,201705071715
A836FB,39674514,a-n-A-C-F-m,201705071655
ICAO-AC3DD5,39778112,a-n-A-C-F-m,201705072225
ICAO-A8C4D8,39777302,a-n-A-C-F-m,201705072145
ICAO-ABDCBE,39769927,a-n-A-C-F-m,201705071935
3965A6,39734847,a-n-A-C-F-m,201705071755
A9B85B,39725655,a-n-A-C-F-m,201705071745
A98ED9,39717969,a-n-A-C-F-m,201705071730
A98ED9,39709385,a-n-A-C-F-m,201705071720
AACF19,39739705,a-n-A-C-F-m,201705071755
A836FB,39677879,a-n-A-C-F-m,201705071655
AACF19,39747187,a-n-A-C-F-m,201705071800
A98ED9,39711941,a-n-A-C-F-m,201705071725
A836FB,39675847,a-n-A-C-F-m,201705071655
A836FB,39684835,a-n-A-C-F-m,201705071705
A9B85B,39721718,a-n-A-C-F-m,201705071735
A836FB,39681452,a-n-A-C-F-m,201705071700
A7FED0,39708037,a-n-A-C-F-m,201705071720
A836FB,39682605,a-n-A-C-F-m,201705071700
A583F5,39661668,a-n-A-C-F-m,201705071640
A9B85B,39724419,a-n-A-C-F-m,201705071740
A7FED0,39697654,a-n-A-C-F-m,201705071715
A9B85B,39726595,a-n-A-C-F-m,201705071745
A836FB,39673692,a-n-A-C-F-m,201705071655
ICAO-ABDCBE,39769881,a-n-A-C-F-m,201705071935
A7FED0,39708507,a-n-A-C-F-m,201705071720
A9B85B,39726071,a-n-A-C-F-m,201705071745
A583F5,39661675,a-n-A-C-F-m,201705071640
AACF19,39759925,a-n-A-C-F-m,201705071805
A583F5,39661299,a-n-A-C-F-m,201705071640
AACF19,39746796,a-n-A-C-F-m,201705071800
A9B85B,39723085,a-n-A-C-F-m,201705071740
A836FB,39683593,a-n-A-C-F-m,201705071700
A98ED9,39707924,a-n-A-C-F-m,201705071720
A98ED9,39712084,a-n-A-C-F-m,201705071725
A836FB,39671458,a-n-A-C-F-m,201705071655
AACF19,39757027,a-n-A-C-F-m,201705071805
A836FB,39675536,a-n-A-C-F-m,201705071655
A836FB,39677959,a-n-A-C-F-m,201705071655
A98ED9,39712112,a-n-A-C-F-m,201705071725
A836FB,39676983,a-n-A-C-F-m,201705071655
A7FED0,39707401,a-n-A-C-F-m,201705071720
AACF19,39736048,a-n-A-C-F-m,201705071755
A836FB,39679596,a-n-A-C-F-m,201705071700
ICAO-ABDCBE,39769636,a-n-A-C-F-m,201705071930
A98ED9,39709174,a-n-A-C-F-m,201705071720
ICAO-AC3DD5,39778203,a-n-A-C-F-m,201705072225
A836FB,39672565,a-n-A-C-F-m,201705071655
A98ED9,39718227,a-n-A-C-F-m,201705071730
A98ED9,39716977,a-n-A-C-F-m,201705071730
A98ED9,39707081,a-n-A-C-F-m,201705071720
A836FB,39676780,a-n-A-C-F-m,201705071655
A7FED0,39705648,a-n-A-C-F-m,201705071720
ICAO-A8C4D8,39777330,a-n-A-C-F-m,201705072145
ICAO-3C650B,39767166,a-n-A-C-F,201705071900
ICAO-ABDCBE,39770020,a-n-A-C-F-m,201705071935
A9B85B,39722162,a-n-A-C-F-m,201705071735
A7FED0,39697092,a-n-A-C-F-m,201705071715
A7FED0,39706889,a-n-A-C-F-m,201705071720
A98ED9,39710790,a-n-A-C-F-m,201705071725
A836FB,39675240,a-n-A-C-F-m,201705071655
ICAO-AC3DD5,39778165,a-n-A-C-F-m,201705072225
A7FED0,39700419,a-n-A-C-F-m,201705071715
A836FB,39674942,a-n-A-C-F-m,201705071655
A7FED0,39706264,a-n-A-C-F-m,201705071720
A98ED9,39713999,a-n-A-C-F-m,201705071725
A836FB,39681133,a-n-A-C-F-m,201705071700
ICAO-A98539,39768290,a-n-A-C-F-m,201705071910
ICAO-A4DAD4,39775770,a-n-A-C-F-m,201705072045
A836FB,39678325,a-n-A-C-F-m,201705071700
ICAO-4006AE,39777464,a-n-A-C-F,201705072150
A836FB,39678235,a-n-A-C-F-m,201705071700
ICAO-47C5C7,39781365,a-n-A-C-F,201705072345
ICAO-4006AC,39778283,a-n-A-C-F,201705072225
ICAO-4006AE,39777374,a-n-A-C-F,201705072150
A9B85B,39726942,a-n-A-C-F-m,201705071745
AACF19,39750502,a-n-A-C-F-m,201705071800
A9B85B,39722663,a-n-A-C-F-m,201705071740
A836FB,39684421,a-n-A-C-F-m,201705071705
A98ED9,39715269,a-n-A-C-F-m,201705071725
A9B85B,39726415,a-n-A-C-F-m,201705071745
A836FB,39678055,a-n-A-C-F-m,201705071655
A9B85B,39727570,a-n-A-C-F-m,201705071745
A836FB,39673761,a-n-A-C-F-m,201705071655
A836FB,39673151,a-n-A-C-F-m,201705071655
A98ED9,39717126,a-n-A-C-F-m,201705071730
AACF19,39744825,a-n-A-C-F-m,201705071800
