id,cot_type,servertime
39740037,a-n-A-C-F-m,201705071755
39697092,a-n-A-C-F-m,201705071715
39700618,a-n-A-C-F-m,201705071715
39724619,a-n-A-C-F-m,201705071740
39742269,a-n-A-C-F-m,201705071755
39769799,a-n-A-C-F-m,201705071935
39725393,a-n-A-C-F-m,201705071745
39705213,a-n-A-C-F-m,201705071720
39740998,a-n-A-C-F-m,201705071755
39775564,a-n-A-C-F-m,201705072045
39671468,a-n-A-C-F-m,201705071655
39718255,a-n-A-C-F-m,201705071730
39715273,a-n-A-C-F-m,201705071725
39674628,a-n-A-C-F-m,201705071655
39712620,a-n-A-C-F-m,201705071725
39679654,a-n-A-C-F-m,201705071700
39785226,a-n-A-C-F-m,201705080625
39756144,a-n-A-C-F-m,201705071805
39736102,a-n-A-C-F-m,201705071755
39757201,a-n-A-C-F-m,201705071805
39708832,a-n-A-C-F-m,201705071720
39721789,a-n-A-C-F-m,201705071735
39707036,a-n-A-C-F-m,201705071720
39759486,a-n-A-C-F-m,201705071805
39708310,a-n-A-C-F-m,201705071720
39661261,a-n-A-C-F-m,201705071640
39661707,a-n-A-C-F-m,201705071640
39704725,a-n-A-C-F-m,201705071720
39778344,a-n-A-C-F,201705072230
39778368,a-n-A-C-F,201705072230
39767269,a-n-A-C-F,201705071900
39675988,a-n-A-C-F-m,201705071655
39677125,a-n-A-C-F-m,201705071655
39767127,a-n-A-C-F,201705071900
39706065,a-n-A-C-F-m,201705071720
39673621,a-n-A-C-F-m,201705071655
39782227,a-n-A-C-F,201705080025
39725158,a-n-A-C-F-m,201705071740
39775698,a-n-A-C-F-m,201705072045
39775679,a-n-A-C-F-m,201705072045
39678237,a-n-A-C-F-m,201705071700
39718901,a-n-A-C-F-m,201705071730
39777352,a-n-A-C-F,201705072150
39775619,a-n-A-C-F-m,201705072045
39775632,a-n-A-C-F-m,201705072045
39769545,a-n-A-C-F-m,201705071930
39705639,a-n-A-C-F-m,201705071720
39683750,a-n-A-C-F-m,201705071700
39737655,a-n-A-C-F-m,201705071755
39727526,a-n-A-C-F-m,201705071745
39678903,a-n-A-C-F-m,201705071700
39775763,a-n-A-C-F-m,201705072045
39741062,a-n-A-C-F-m,201705071755
39706196,a-n-A-C-F-m,201705071720
39705818,a-n-A-C-F-m,201705071720
39681642,a-n-A-C-F-m,201705071700
39715594,a-n-A-C-F-m,201705071725
39705356,a-n-A-C-F-m,201705071720
39718162,a-n-A-C-F-m,201705071730
39785242,a-n-A-C-F-m,201705080630
39757000,a-n-A-C-F-m,201705071805
39738522,a-n-A-C-F-m,201705071755
39726672,a-n-A-C-F-m,201705071745
39718658,a-n-A-C-F-m,201705071730
39777392,a-n-A-C-F,201705072150
39778222,a-n-A-C-F,201705072225
39724476,a-n-A-C-F-m,201705071740
39756178,a-n-A-C-F-m,201705071805
39740204,a-n-A-C-F-m,201705071755
39707146,a-n-A-C-F-m,201705071720
39675893,a-n-A-C-F-m,201705071655
39685699,a-n-A-C-F-m,201705071705
39701330,a-n-A-C-F-m,201705071715
39746324,a-n-A-C-F-m,201705071800
39726395,a-n-A-C-F-m,201705071745
39759651,a-n-A-C-F-m,201705071805
