name,id,cot_type,servertime
AAF183,39686718,a-n-A-C-F-m,201705071705
A96BA2,39699374,a-n-A-C-F-m,201705071715
AAF183,39686601,a-n-A-C-F-m,201705071705
A2F591,39683022,a-n-A-C-F-m,201705071700
C06A39,39678682,a-n-A-C-F-m,201705071700
C0193B,39733040,a-n-A-C-F-m,201705071750
A2F591,39688027,a-n-A-C-F-m,201705071705
A8913B,39705048,a-n-A-C-F-m,201705071720
ICAO-4006A8,39776876,a-n-A-C-F,201705072130
ICAO-A4E41D,39787162,a-n-A-C-F-m,201705080715
ICAO-4B1884,39779725,a-n-A-C-F,201705072250
A7FED0,39708162,a-n-A-C-F-m,201705071720
AD8BED,39734643,a-n-A-C-F-m,201705071755
ICAO-4006AC,39778334,a-n-A-C-F,201705072225
AAF183,39686832,a-n-A-C-F-m,201705071705
ICAO-AAABF6,39770933,a-n-A-C-F-m,201705071945
C01EF7,39761457,a-n-A-C-F-m,201705071805
ICAO-AC67F2,39766237,a-n-A-C-F-m,201705071845
AAF183,39687082,a-n-A-C-F-m,201705071705
A9B85B,39727010,a-n-A-C-F-m,201705071745
AA7E7C,39669631,a-n-A-C-F-m,201705071650
ICAO-406D78,39765562,a-n-A-C-F,201705071830
AB4BA6,39693238,a-n-A-C-F-m,201705071710
A85FF5,39798960,a-n-A-C-F-m,201705080850
AA6F46,39706875,a-n-A-C-F-m,201705071720
ACCA88,39795679,a-n-A-C-F-m,201705080845
345241,39762898,a-n-A-C-F-m,201705071810
C06A39,39681370,a-n-A-C-F-m,201705071700
A63665,39680174,a-n-A-C-F-m,201705071700
A836FB,39685102,a-n-A-C-F-m,201705071705
A35AAE,39712330,a-n-A-C-F-m,201705071725
AA6F46,39715610,a-n-A-C-F-m,201705071725
AA600A,39665913,a-n-A-C-F-m,201705071645
A2DCEE,39725534,a-n-A-C-F-m,201705071745
ICAO-AB355C,39791373,a-n-A-C-F-m,201705080840
A0EFF1,39740690,a-n-A-C-F-m,201705071755
AACF19,39760894,a-n-A-C-F-m,201705071805
ICAO-06A0F9,39789647,a-n-A-C-F,201705080810
ICAO-A845F4,39791886,a-n-A-C-F-m,201705080840
AD8BED,39730016,a-n-A-C-F-m,201705071750
A63665,39685862,a-n-A-C-F-m,201705071705
ICAO-A71F24,39784576,a-n-A-C-F-m,201705080605
A836FB,39675838,a-n-A-C-F-m,201705071655
AD8BED,39729938,a-n-A-C-F-m,201705071750
345241,39756916,a-n-A-C-F-m,201705071805
ICAO-AA4548,39768717,a-n-A-C-F-m,201705071915
345241,39758413,a-n-A-C-F-m,201705071805
ICAO-4BB1C7,39722441,a-n-A-C-F,201705071740
AA56B6,39707539,a-n-A-C-F-m,201705071720
A38E11,39686582,a-n-A-C-F-m,201705071705
A8A3CE,39727987,a-n-A-C-F-m,201705071745
AD846F,39754229,a-n-A-C-F-m,201705071800
AA7C64,39718765,a-n-A-C-F-m,201705071730
A7ED31,39676213,a-n-A-C-F-m,201705071655
A9B85B,39722366,a-n-A-C-F-m,201705071740
AD8BED,39733058,a-n-A-C-F-m,201705071750
A3EE1F,39657422,a-n-A-C-F-m,201705071635
ICAO-406891,39778387,a-n-A-C-F,201705072230
ICAO-AB856C,39769004,a-n-A-C-F-m,201705071925
ABA7B0,39663442,a-n-A-C-F-m,201705071645
A48681,39690020,a-n-A-C-F-m,201705071710
ABA7B0,39668548,a-n-A-C-F-m,201705071650
AA7E7C,39681607,a-n-A-C-F-m,201705071700
AA75EF,39723197,a-n-A-C-F-m,201705071740
AD734A,39723433,a-n-A-C-F-m,201705071740
ICAO-AD6C3B,39733685,a-n-A-C-F-m,201705071750
ICAO-4006B0,39772472,a-n-A-C-F,201705072010
ABF826,39694530,a-n-A-C-F-m,201705071710
A98ED9,39714939,a-n-A-C-F-m,201705071725
AD4F72,39806239,a-n-A-C-F-m,201705080850
AB7B02,39669314,a-n-A-C-F-m,201705071650
E80244,39679807,a-n-A-C-F-m,201705071700
A63665,39681578,a-n-A-C-F-m,201705071700
C0193B,39732775,a-n-A-C-F-m,201705071750
A8A3CE,39726941,a-n-A-C-F-m,201705071745
AACF19,39760080,a-n-A-C-F-m,201705071805
ICAO-A364EA,39785919,a-n-A-C-F-m,201705080635
ICAO-A3612A,39765846,a-n-A-C-F-m,201705071835
AAF183,39686726,a-n-A-C-F-m,201705071705
C06A39,39684081,a-n-A-C-F-m,201705071705
A0DDFB,39746798,a-n-A-C-F-m,201705071800
AB7B02,39667901,a-n-A-C-F-m,201705071650
