person100, year_5
person113, year_4
person116, year_3
person118, year_4
person122, year_4
person126, year_5
person129, year_6
person13, year_7
person130, year_8
person139, year_3
person14, year_10
person141, year_6
person142, year_9
person148, year_5
person149, year_5
person15, year_3
person154, year_4
person155, year_2
person157, year_4
person159, year_2
person161, year_7
person163, year_4
person172, year_1
person175, year_2
person176, year_2
person18, year_3
person182, year_3
person183, year_4
person186, year_1
person187, year_1
person19, year_1
person191, year_4
person193, year_1
person20, year_1
person200, year_4
person204, year_6
person205, year_1
person206, year_6
person208, year_4
person21, year_5
person212, year_7
person217, year_5
person218, year_12
person222, year_1
person226, year_4
person228, year_3
person233, year_1
person239, year_4
person241, year_3
person242, year_5
person249, year_7
person253, year_5
person255, year_5
person257, year_7
person262, year_7
person263, year_6
person265, year_9
person266, year_5
person27, year_1
person270, year_1
person272, year_2
person275, year_5
person276, year_3
person277, year_1
person278, year_2
person280, year_3
person283, year_1
person284, year_3
person286, year_3
person288, year_5
person299, year_3
person300, year_8
person303, year_4
person309, year_3
person311, year_3
person312, year_4
person314, year_4
person318, year_5
person320, year_3
person333, year_2
person343, year_1
person348, year_3
person352, year_5
person353, year_4
person357, year_4
person361, year_6
person362, year_3
person363, year_3
person368, year_4
person37, year_1
person374, year_12
person376, year_4
person377, year_1
person380, year_6
person381, year_10
person382, year_3
person383, year_2
person384, year_3
person390, year_2
person391, year_4
person398, year_1
person402, year_2
person403, year_12
person404, year_4
person406, year_5
person408, year_2
person41, year_5
person411, year_6
person412, year_3
person416, year_1
person417, year_1
person418, year_3
person419, year_7
person42, year_1
person422, year_3
person426, year_5
person427, year_4
person429, year_5
person431, year_2
person432, year_5
person435, year_4
person45, year_5
person51, year_2
person6, year_2
person62, year_2
person63, year_5
person67, year_6
person68, year_5
person70, year_1
person73, year_4
person75, year_6
person80, year_6
person81, year_6
person83, year_5
person89, year_5
person9, year_5
person92, year_5
person94, year_1
person96, year_5
person99, year_2
